"COD_DANE12","COLEGIO_SE","X","Y","P_Puntaje_2021","EVALUADOS_2021","Sector","CALENDARIO","GENERO","COD_LOCA","NATU_JUR","CLASE_TIPO","Categoria","Thombre_aprob","Tmujer_aprob","Thombre","Tmujer","ESTRATO","DENSITY","P_Puntaje_2019","EVALUADOS_2019","P_Puntaje_2020","EVALUADOS_2020","P_Puntaje_2022","EVALUADOS_2022"
311001089981,"INSTITUTO GUSTAVO ADOLFO BECQUER",-8249696.1,507192.189,270.3846154,8,1,1,5,18,13,1,2,84.68,87.91,1.28,0.76,2,374.543896683,279.2307692,10,285.3846154,7,291.1538462,3
311001090297,"COLEGIO SANTO TORIBIO DE MONGROVEJO",-8248503.2571,528794.413899999,280.7692308,21,1,1,5,11,13,1,2,89.36,91.61,2.38,1.86,2,425.30735871,278.0769231,42,277.6923077,27,284.6153846,25
311001090360,"GIMNASIO MODERNO SUMMERHILL",-8251275.5377,525469.416200001,316.5384615,25,1,1,5,10,13,1,1,88.37,90.06,0.65,0.54,3,268.783871617,288.0769231,41,299.2307692,25,293.4615385,30
311001090416,"GIMNASIO ARTISTICO SUBA",-8248603.7753,528595.5623,289.2307692,19,1,1,5,11,15,1,2,89.36,91.61,2.38,1.86,2,425.30735871,268.4615385,23,284.2307692,11,284.2307692,18
311001090459,"GIMNASIO MODERNO GENERACION DEL FUTURO",-8248571.8645,530221.119100001,284.2307692,48,1,1,5,11,13,1,2,88.88,91.38,1.68,0.95,3,206.323735184,262.6923077,52,261.9230769,44,278.8461538,45
311001090505,"LICEO FORMACION EDUCATIVA PERSONALIZADA",-8244555.9259,521577.573399998,276.1538462,16,1,1,5,12,13,1,2,88.9,92.99,1.8,2.12,4,169.658573145,298.4615385,15,280.7692308,13,283.4615385,17
311001090572,"LICEO CULTURAL MOSQUERA",-8256851.0479,517090.363499999,278.0769231,50,1,1,5,8,13,1,2,85.22,88.65,0.77,0.71,2,548.796445738,269.6153846,74,278.4615385,70,283.8461538,55
311001090637,"LICEO MIXTO LOS CENTAUROS",-8259094.2302,515316.0306,283.4615385,19,1,1,5,7,13,1,2,90.04,91.9,1.72,1.39,2,415.818720334,265,14,258.8461538,13,281.1538462,19
311001090718,"INSTITUTO LABERINTO DE LA CULTURA",-8259932.0163,515068.741900001,271.9230769,6,1,1,5,7,13,1,2,90.04,91.9,1.72,1.39,2,415.818720334,256.1538462,13,226.9230769,6,255.3846154,9
311001090793,"CENTRO EDUCATIVO LOMBARDIA",-8248678.3872,529092.7027,284.2307692,42,1,1,5,11,15,1,2,89.36,91.61,2.38,1.86,3,425.30735871,286.9230769,53,289.6153846,53,290,39
